,HOUR,MAKE,BODY_TYP,MOD_YEAR,AGE,INJ_SEV,REST_USE,EJECTION,VE_FORMS,VSURCOND,ROLLOVER,TRAV_SP,VSPD_LIM,LGT_COND,DIF_SP
11986,11,Ford,Pickups,11.0,65,Fatal Injury,1,0,1,0,1,63,55,0,8
11987,15,Chevrolet,SUVs,3.0,79,Fatal Injury,1,0,2,0,1,68,65,0,3
11988,15,Chevrolet,SUVs,3.0,71,Fatal Injury,1,0,2,0,1,68,65,0,3
11989,11,Chevrolet,SUVs,20.0,86,Fatal Injury,1,0,2,0,0,5,55,0,-50
11990,11,Chevrolet,Pickups,17.0,36,Possible Injury,1,0,2,0,0,60,55,0,5
11991,11,Chevrolet,Pickups,17.0,18,Possible Injury,1,0,2,0,0,60,55,0,5
11992,1,BMW,Sedans,9.0,40,Fatal Injury,1,0,2,0,0,70,70,2,0
11993,1,BMW,Sedans,9.0,43,Fatal Injury,1,0,2,0,0,70,70,2,0
11994,1,BMW,Sedans,9.0,10,Fatal Injury,1,0,2,0,0,70,70,2,0
11995,1,BMW,Sedans,9.0,12,Suspected Serious Injury,1,0,2,0,0,70,70,2,0
11996,13,Toyota,Sedans,22.0,55,Fatal Injury,0,1,1,0,1,65,65,0,0
11997,19,Chevrolet,Pickups,20.0,21,No Apparent Injury,0,0,1,0,0,55,55,0,0
11998,13,Hyundai,Sedans,3.0,37,Suspected Minor Injury,1,0,2,0,0,65,65,0,0
11999,13,Hyundai,Sedans,3.0,9,Suspected Minor Injury,1,0,2,0,0,65,65,0,0
12000,13,Chevrolet,Pickups,18.0,72,Fatal Injury,0,1,2,0,0,55,65,0,-10
12001,4,Chevrolet,Sedans,13.0,28,Fatal Injury,0,0,1,0,1,62,50,2,12
12002,11,Toyota,Sedans,1.0,69,Suspected Minor Injury,1,0,3,0,0,0,80,0,-80
12003,19,Ford,SUVs,18.0,28,Fatal Injury,0,1,1,0,3,80,65,0,15
12004,18,Chevrolet,Sedans,7.0,39,Fatal Injury,0,0,1,0,0,34,80,0,-46
12005,10,Jeep,SUVs,5.0,83,Fatal Injury,1,0,3,0,1,55,55,0,0
12006,10,Jeep,SUVs,5.0,72,Suspected Minor Injury,1,0,3,0,1,55,55,0,0
12007,10,Chevrolet,Pickups,2.0,34,Suspected Minor Injury,0,0,3,0,0,0,55,0,-55
12008,10,Chevrolet,Pickups,2.0,46,Suspected Minor Injury,0,0,3,0,0,0,55,0,-55
12009,23,Chevrolet,Pickups,17.0,17,Suspected Serious Injury,0,0,2,0,1,59,55,2,4
12010,23,Chevrolet,Pickups,17.0,17,Fatal Injury,0,0,2,0,1,59,55,2,4
12011,23,Dodge,Sedans,4.0,19,Fatal Injury,1,0,2,0,1,31,55,2,-24
12012,17,Dodge,Pickups,9.0,39,Fatal Injury,0,1,1,0,3,102,65,0,37
12013,17,Dodge,Pickups,9.0,39,Suspected Serious Injury,0,0,1,0,3,102,65,0,37
12014,13,Chevrolet,SUVs,21.0,86,Fatal Injury,1,0,2,0,0,15,45,0,-30
12015,20,Chevrolet,SUVs,17.0,25,No Apparent Injury,1,0,1,0,0,49,45,2,4
12016,10,Dodge,Sedans,18.0,16,No Apparent Injury,0,0,1,0,0,30,55,0,-25
12017,13,Ford,Pickups,26.0,61,Fatal Injury,0,0,2,1,0,10,65,0,-55
12018,13,Chevrolet,Sedans,14.0,16,Suspected Minor Injury,1,0,2,1,0,55,65,0,-10
12019,12,Chevrolet,Sedans,22.0,64,No Apparent Injury,1,0,3,1,0,0,25,0,-25
12020,23,Dodge,Pickups,15.0,21,Fatal Injury,0,1,1,0,1,75,75,2,0
12021,23,Ford,Pickups,16.0,37,Fatal Injury,0,1,1,0,1,66,65,2,1
12022,23,Ford,Pickups,16.0,26,Suspected Serious Injury,0,1,1,0,1,66,65,2,1
12023,23,Ford,Pickups,16.0,26,Suspected Minor Injury,0,2,1,0,1,66,65,2,1
12024,9,Chevrolet,SUVs,14.0,38,Fatal Injury,0,1,1,1,1,89,75,0,14
12025,9,Chevrolet,SUVs,14.0,15,Suspected Minor Injury,0,0,1,1,1,89,75,0,14
12026,9,Chevrolet,SUVs,14.0,15,Suspected Minor Injury,0,1,1,1,1,89,75,0,14
12027,9,Chevrolet,SUVs,14.0,13,Suspected Serious Injury,0,1,1,1,1,89,75,0,14
12028,9,Chevrolet,SUVs,14.0,14,Suspected Minor Injury,0,1,1,1,1,89,75,0,14
12029,18,Ford,Pickups,17.0,61,Fatal Injury,0,1,1,0,1,66,65,2,1
12030,16,Chevrolet,Pickups,17.0,48,Fatal Injury,0,1,1,0,1,47,20,0,27
12031,14,Chevrolet,Pickups,4.0,69,Possible Injury,1,0,2,0,0,70,65,0,5
12032,14,Chevrolet,Pickups,4.0,72,Possible Injury,1,0,2,0,0,70,65,0,5
12033,22,Chevrolet,SUVs,14.0,52,Fatal Injury,0,1,1,1,1,72,80,2,-8
12034,22,Chevrolet,SUVs,14.0,43,Fatal Injury,0,1,1,1,1,72,80,2,-8
12035,22,Chevrolet,SUVs,14.0,17,Suspected Minor Injury,0,0,1,1,1,72,80,2,-8
12036,15,GMC,SUVs,17.0,78,Fatal Injury,0,0,1,1,1,35,35,0,0
12037,2,Chevrolet,Pickups,20.0,22,Fatal Injury,0,1,1,0,1,70,55,2,15
12038,2,Chevrolet,Pickups,22.0,59,No Apparent Injury,1,0,1,1,0,65,65,2,0
12039,17,Chevrolet,Sedans,15.0,23,No Apparent Injury,1,0,1,0,0,87,55,2,32
12040,17,Chevrolet,Sedans,15.0,3,Fatal Injury,0,0,1,0,0,87,55,2,32
12041,15,Hyundai,SUVs,2.0,83,Fatal Injury,1,0,2,0,0,0,45,0,-45
12042,18,Chevrolet,Sedans,8.0,43,No Apparent Injury,1,0,3,0,0,0,45,2,-45
12043,18,Ford,Pickups,15.0,69,No Apparent Injury,1,0,3,0,0,0,45,2,-45
12044,18,Ford,Pickups,15.0,57,No Apparent Injury,1,0,3,0,0,0,45,2,-45
12045,16,Honda,Sedans,7.0,42,No Apparent Injury,1,0,2,0,0,58,50,0,8
12046,18,Ford,Pickups,2.0,78,No Apparent Injury,1,0,6,1,0,0,45,2,-45
12047,17,Chevrolet,Sedans,10.0,76,No Apparent Injury,1,0,1,0,0,40,40,2,0
12048,17,Chevrolet,Sedans,10.0,79,No Apparent Injury,1,0,1,0,0,40,40,2,0
12049,2,Honda,Pickups,12.0,30,Fatal Injury,0,0,2,0,0,0,70,2,-70
12050,11,GMC,SUVs,7.0,49,Fatal Injury,1,0,2,0,0,0,40,0,-40
12051,11,Ford,Pickups,23.0,63,Fatal Injury,1,0,2,0,0,0,40,0,-40
12052,16,Toyota,SUVs,11.0,35,No Apparent Injury,1,0,3,0,0,0,55,0,-55
12053,16,Toyota,SUVs,11.0,14,No Apparent Injury,1,0,3,0,0,0,55,0,-55
12054,6,Ford,Sedans,9.0,19,No Apparent Injury,1,0,2,0,0,0,35,0,-35
12055,12,Ford,SUVs,13.0,71,No Apparent Injury,1,0,3,0,0,0,40,0,-40
12056,12,Ford,SUVs,13.0,50,No Apparent Injury,1,0,3,0,0,0,40,0,-40
12057,9,Chevrolet,Pickups,16.0,77,Fatal Injury,1,0,2,0,0,0,55,0,-55
12058,8,Ford,Pickups,18.0,60,Suspected Serious Injury,1,0,2,0,0,0,50,0,-50
